按行业,收入(万元),成本(万元),利润(万元),毛利率,利润占比
其他,2497,1098,1399,56.04%,16.67%
贸易业务,61079,59343,1737,2.84%,20.69%
建筑工程,4707,4369,338,7.19%,4.03%
环保行业,25301,20380,4921,19.45%,58.62%
